,joblinks
79,https://de.linkedin.com/jobs/view/business-market-analyst-m-w-d-at-abl-solutions-gmbh-3726545406?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=Nk9WtMS5Qq8d2dexEQhhug%3D%3D&position=12&pageNum=3&trk=public_jobs_jserp-result_search-card
80,https://de.linkedin.com/jobs/view/business-analyst-ecommerce-at-lovehoney-group-3790737966?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=nLld%2BxQVcMGHw5Q319KduQ%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card
81,https://de.linkedin.com/jobs/view/business-analyst-application-architect-m-w-d-at-airbus-3728336998?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=gSWLoXDJQf%2Bh6MhDnXtmzA%3D%3D&position=14&pageNum=3&trk=public_jobs_jserp-result_search-card
82,https://de.linkedin.com/jobs/view/business-analyst-in-sales-analytics-d-w-m-at-scout24-gruppe-3763573560?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=h1NJ5D7f3LfTkPzOCk3mVg%3D%3D&position=15&pageNum=3&trk=public_jobs_jserp-result_search-card
83,https://de.linkedin.com/jobs/view/duales-studium-bwl-schwerpunkt-industrie-b-a-bereich-regulierungsmanagement-berlin-at-50hertz-transmission-gmbh-3735308272?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=12zRyZIVwFRErkB2A7AkLA%3D%3D&position=16&pageNum=3&trk=public_jobs_jserp-result_search-card
84,https://de.linkedin.com/jobs/view/werkstudent-m-w-d-wissensmanagement-mit-option-ba-oder-ma-thesis-at-diehl-metall-3642100758?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=sw9DeQDaT%2BOgYY3%2FwJ7Qlw%3D%3D&position=17&pageNum=3&trk=public_jobs_jserp-result_search-card
85,https://de.linkedin.com/jobs/view/duales-studium-b-a-bwl-mit-schwerpunkt-business-sales-in-berlin-2024-at-vodafone-3717095440?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=Kbk9JBNsmJ9ZHAGjHY0wOA%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card
86,https://de.linkedin.com/jobs/view/business-analyst-anforderungsmanager-m-w-d-at-gulp-%E2%80%93-experts-united-3795592813?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=KUHh6%2F%2FSbmPZL%2Fhfn7QaDA%3D%3D&position=19&pageNum=3&trk=public_jobs_jserp-result_search-card
87,https://de.linkedin.com/jobs/view/digital-analyst-m-w-d-at-peak-ace-ag-3794091412?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=hudBNpd8OzUWDWxVHgF5JA%3D%3D&position=21&pageNum=3&trk=public_jobs_jserp-result_search-card
88,https://de.linkedin.com/jobs/view/product-owner-data-product-analyst-m-w-d-business-unit-insurance-at-verivox-gmbh-3773669466?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=Prg19OKdG8HbQIKcZZ9ptA%3D%3D&position=22&pageNum=3&trk=public_jobs_jserp-result_search-card
